Movie Title,Director,Genre,Release Year
Dinner with Friends,Norman Jewison,"Comedy, Drama",2001
The Statement,Norman Jewison,"Drama, Thriller",2003
Motor Mad,Norman Taurog,Comedy,1924
Cheap Skates,Norman Taurog,Comedy,1925
Lucky Boy,Norman Taurog,"Romance, Music",1929
Hot Curves,Norman Taurog,Comedy,1930
Sunny Skies,Norman Taurog,"Music, Comedy",1930
Troopers Three,Norman Taurog,"Action, Adventure, Drama",1930
Follow the Leader,Norman Taurog,"Comedy, Music, Romance",1930
Skippy,Norman Taurog,"Drama, Family, Comedy",1931
Finn and Hattie,Norman Taurog,Comedy,1931
Huckleberry Finn,Norman Taurog,"Comedy, Crime",1931
Newly Rich,Norman Taurog,"Comedy, Family, Adventure",1931
Sooky,Norman Taurog,"Family, Comedy",1931
Hold 'Em Jail,Norman Taurog,Comedy,1932
The Phantom President,Norman Taurog,"Comedy, Music",1932
A Bedtime Story,Norman Taurog,"Romance, Comedy, Music",1933
The Way to Love,Norman Taurog,"Comedy, Romance",1933
We're Not Dressing,Norman Taurog,"Comedy, Music",1934
Mrs. Wiggs of the Cabbage Patch,Norman Taurog,Comedy,1934
College Rhythm,Norman Taurog,Romance,1934
The Big Broadcast of 1936,Norman Taurog,Music,1935
Rhythm on the Range,Norman Taurog,Western,1936
Strike Me Pink,Norman Taurog,Comedy,1936
Reunion,Norman Taurog,Comedy,1936
You Can't Have Everything,Norman Taurog,"Comedy, Romance",1937
Fifty Roads to Town,Norman Taurog,Comedy,1937
The Adventures of Tom Sawyer,Norman Taurog,"Family, Adventure",1938
Boys Town,Norman Taurog,Drama,1938
Mad About Music,Norman Taurog,"Comedy, Drama, Music",1938
The Girl Downstairs,Norman Taurog,"Comedy, Romance",1938
Lucky Night,Norman Taurog,"Comedy, Drama",1939
Broadway Melody of 1940,Norman Taurog,"Music, Romance, Comedy",1940
Little Nellie Kelly,Norman Taurog,"Comedy, Family",1940
Young Tom Edison,Norman Taurog,Drama,1940
Men of Boys Town,Norman Taurog,Drama,1941
Design for Scandal,Norman Taurog,"Comedy, Romance",1941
A Yank at Eton,Norman Taurog,"Family, Comedy",1942
Are Husbands Necessary?,Norman Taurog,"Comedy, Romance",1942
Girl Crazy,Norman Taurog,"Comedy, Romance, Music",1943
Presenting Lily Mars,Norman Taurog,"Music, Romance",1943
The Hoodlum Saint,Norman Taurog,"Drama, Music",1946
The Beginning or the End,Norman Taurog,"Drama, Documentary, History, War",1947
Words and Music,Norman Taurog,"Drama, Music",1948
The Bride Goes Wild,Norman Taurog,"Comedy, Romance",1948
That Midnight Kiss,Norman Taurog,"Music, Romance",1949
The Toast of New Orleans,Norman Taurog,"Drama, Music, Romance",1950
Please Believe Me,Norman Taurog,"Comedy, Romance",1950
Mrs. O'Malley and Mr. Malone,Norman Taurog,"Mystery, Comedy",1950
The Stooge,Norman Taurog,"Comedy, Drama, Romance",1951
"Rich, Young and Pretty",Norman Taurog,"Music, Comedy, Romance",1951
Jumping Jacks,Norman Taurog,Comedy,1952
Room for One More,Norman Taurog,"Comedy, Family",1952
The Caddy,Norman Taurog,"Comedy, Music",1953
The Stars Are Singing,Norman Taurog,Music,1953
Living It Up,Norman Taurog,"Comedy, Music",1954
You're Never Too Young,Norman Taurog,Comedy,1955
Pardners,Norman Taurog,"Comedy, Western",1956
Bundle of Joy,Norman Taurog,"Comedy, Music, Romance",1956
The Birds and the Bees,Norman Taurog,Comedy,1956
The Fuzzy Pink Nightgown,Norman Taurog,"Comedy, Crime",1957
Onionhead,Norman Taurog,"Drama, Comedy",1958
Don't Give Up the Ship,Norman Taurog,Comedy,1959
G.I. Blues,Norman Taurog,"Comedy, Music",1960
Visit to a Small Planet,Norman Taurog,"Comedy, Science Fiction, Family",1960
Blue Hawaii,Norman Taurog,"Comedy, Music",1961
All Hands on Deck,Norman Taurog,"Music, Comedy",1961
Girls! Girls! Girls!,Norman Taurog,"Comedy, Music, Romance",1962
Palm Springs Weekend,Norman Taurog,"Comedy, Romance",1963
It Happened at the World's Fair,Norman Taurog,"Comedy, Music, Romance",1963
Dr. Goldfoot and the Bikini Machine,Norman Taurog,"Comedy, Science Fiction",1965
Tickle Me,Norman Taurog,"Comedy, Music, Romance, Western",1965
Sergeant Deadhead,Norman Taurog,Comedy,1965
Spinout,Norman Taurog,"Comedy, Music, Romance",1966
Double Trouble,Norman Taurog,"Comedy, Crime, Drama, Music, Romance",1967
"Live a Little, Love a Little",Norman Taurog,"Comedy, Music, Romance",1968
Seizure,Oliver Stone,Horror,1974
The Hand,Oliver Stone,"Horror, Thriller",1981
Platoon,Oliver Stone,"Drama, War, Action",1986
Salvador,Oliver Stone,"Drama, War, Thriller",1986
Wall Street,Oliver Stone,"Crime, Drama",1987
Talk Radio,Oliver Stone,Drama,1988
Born on the Fourth of July,Oliver Stone,"Drama, War",1989
The Doors,Oliver Stone,"Music, Drama, History",1991
JFK,Oliver Stone,"Drama, Thriller, History",1991
Heaven & Earth,Oliver Stone,"History, War, Action, Drama",1993
Natural Born Killers,Oliver Stone,"Crime, Thriller, Drama",1994
Nixon,Oliver Stone,"Drama, History",1995
U Turn,Oliver Stone,"Crime, Drama, Thriller",1997
Any Given Sunday,Oliver Stone,Drama,1999
Comandante,Oliver Stone,Documentary,2003
Persona Non Grata,Oliver Stone,Documentary,2003
Alexander,Oliver Stone,"War, History, Action, Adventure, Drama, Romance",2004
Looking For Fidel,Oliver Stone,Documentary,2004
World Trade Center,Oliver Stone,"Drama, History, Thriller",2006
W.,Oliver Stone,"Drama, History",2008
South of the Border,Oliver Stone,Documentary,2009
Wall Street: Money Never Sleeps,Oliver Stone,"Drama, Crime",2010
Castro in Winter,Oliver Stone,Documentary,2012
The Untold History Of The United States,Oliver Stone,"Documentary, History",2012
My Friend Hugo,Oliver Stone,Documentary,2014
Snowden,Oliver Stone,"Drama, History, Crime, Thriller",2016
JFK Revisited: Through the Looking Glass,Oliver Stone,"Documentary, Crime, Drama",2021
Nuclear Now,Oliver Stone,Documentary,2023
Lula,Oliver Stone,Documentary,2024
Resurrected,Paul Greengrass,"War, Mystery",1989
Open Fire,Paul Greengrass,"Crime, Drama, TV Movie",1994
The One That Got Away,Paul Greengrass,"War, Drama, TV Movie",1996
The Fix,Paul Greengrass,"Drama, TV Movie",1997
The Theory of Flight,Paul Greengrass,"Drama, Comedy, Romance",1999
The Murder of Stephen Lawrence,Paul Greengrass,"Drama, TV Movie",1999
Bloody Sunday,Paul Greengrass,"Drama, History",2002
The Bourne Supremacy,Paul Greengrass,"Action, Drama, Thriller",2004
United 93,Paul Greengrass,"Drama, History, Crime, Thriller, Action",2006
The Bourne Ultimatum,Paul Greengrass,"Action, Drama, Mystery, Thriller",2007
Green Zone,Paul Greengrass,"War, Action, Adventure, Drama, Thriller",2010
Captain Phillips,Paul Greengrass,"Action, Drama, Thriller",2013
Jason Bourne,Paul Greengrass,"Action, Thriller",2016
22 July,Paul Greengrass,"Crime, Drama, History, Thriller",2018
News of the World,Paul Greengrass,"Drama, Western, Adventure",2020
Red Hot,Paul Haggis,,1993
Crash,Paul Haggis,Drama,2005
In the Valley of Elah,Paul Haggis,"History, Drama, Thriller, Crime, Mystery",2007
The Next Three Days,Paul Haggis,"Romance, Drama, Thriller, Crime",2010
Third Person,Paul Haggis,"Drama, Romance",2014
5B,Paul Haggis,Documentary,2018
Boogie Nights,Paul Thomas Anderson,Drama,1997
Hard Eight,Paul Thomas Anderson,"Drama, Crime",1997
Magnolia,Paul Thomas Anderson,Drama,1999
Punch-Drunk Love,Paul Thomas Anderson,"Romance, Drama, Comedy",2002
There Will Be Blood,Paul Thomas Anderson,Drama,2007
The Master,Paul Thomas Anderson,Drama,2012
Inherent Vice,Paul Thomas Anderson,"Drama, Mystery, Comedy",2014
Junun,Paul Thomas Anderson,"Music, Documentary",2015
Phantom Thread,Paul Thomas Anderson,"Drama, Romance",2017
Licorice Pizza,Paul Thomas Anderson,"Drama, Comedy, Romance",2021
Dostoevsky's Travels,Paweł Pawlikowski,Documentary,1991
The Grave Case of Charlie Chaplin,Paweł Pawlikowski,,1994
The Stringer,Paweł Pawlikowski,,1998
Last Resort,Paweł Pawlikowski,"Drama, Romance",2000
My Summer of Love,Paweł Pawlikowski,"Drama, Romance",2005
The Woman in the Fifth,Paweł Pawlikowski,"Drama, Mystery, Thriller",2011
Ida,Paweł Pawlikowski,Drama,2013
Cold War,Paweł Pawlikowski,"Drama, Romance, War, Music",2018
"Fuck... Fuck... Fuck Me, Tin!",Pedro Almodóvar,Comedy,1978
"Pepi, Luci, Bom",Pedro Almodóvar,"Comedy, Drama",1980
Labyrinth of Passion,Pedro Almodóvar,"Comedy, Drama, Romance",1982
Dark Habits,Pedro Almodóvar,"Comedy, Drama",1983
What Have I Done to Deserve This?,Pedro Almodóvar,"Comedy, Drama",1984
Matador,Pedro Almodóvar,"Drama, Thriller",1986
Law of Desire,Pedro Almodóvar,"Drama, Romance, Thriller, Comedy",1987
Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,"Comedy, Drama",1988
Tie Me Up! Tie Me Down!,Pedro Almodóvar,"Comedy, Romance, Drama",1990
High Heels,Pedro Almodóvar,"Drama, Comedy, Crime",1991
Kika,Pedro Almodóvar,"Comedy, Drama",1993
The Flower of My Secret,Pedro Almodóvar,"Drama, Romance",1995
Live Flesh,Pedro Almodóvar,"Drama, Romance, Thriller",1997
All About My Mother,Pedro Almodóvar,"Comedy, Drama",1999
Talk to Her,Pedro Almodóvar,"Drama, Romance",2002
Bad Education,Pedro Almodóvar,"Drama, Crime",2004
Volver,Pedro Almodóvar,"Comedy, Drama, Romance",2006
Broken Embraces,Pedro Almodóvar,"Drama, Romance, Thriller",2009
The Skin I Live In,Pedro Almodóvar,"Drama, Horror, Mystery, Thriller",2011
I'm So Excited!,Pedro Almodóvar,Comedy,2013
Julieta,Pedro Almodóvar,"Drama, Romance",2016
Pain and Glory,Pedro Almodóvar,Drama,2019
Parallel Mothers,Pedro Almodóvar,Drama,2021
The Room Next Door,Pedro Almodóvar,Drama,2024
Loved Up,Peter Cattaneo,"Drama, Romance",1995
The Full Monty,Peter Cattaneo,Comedy,1997
Lucky Break,Peter Cattaneo,"Comedy, Crime",2001
Opal Dream,Peter Cattaneo,"Drama, Family",2006
The Rocker,Peter Cattaneo,"Comedy, Music",2008
Diana and I,Peter Cattaneo,"Drama, TV Movie",2017
Military Wives,Peter Cattaneo,Drama,2020
The Penguin Lessons,Peter Cattaneo,Drama,2024
Bad Taste,Peter Jackson,"Action, Comedy, Horror, Science Fiction",1987
Meet the Feebles,Peter Jackson,"Comedy, Music",1989
Braindead,Peter Jackson,"Horror, Comedy",1992
Heavenly Creatures,Peter Jackson,"Drama, Fantasy",1994
The Frighteners,Peter Jackson,"Horror, Comedy",1996
Forgotten Silver,Peter Jackson,"Comedy, TV Movie",1997
The Making of 'The Frighteners',Peter Jackson,Documentary,1998
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Adventure, Fantasy, Action",2001
The Lord of the Rings: The Two Towers,Peter Jackson,"Adventure, Fantasy, Action",2002
The Lord of the Rings: The Return of the King,Peter Jackson,"Adventure, Fantasy, Action",2003
King Kong,Peter Jackson,"Adventure, Drama, Action",2005
The Lovely Bones,Peter Jackson,"Fantasy, Drama",2009
The Hobbit: An Unexpected Journey,Peter Jackson,"Adventure, Fantasy, Action",2012
The Hobbit: The Desolation of Smaug,Peter Jackson,"Fantasy, Adventure, Action",2013
The Hobbit: The Battle of the Five Armies,Peter Jackson,"Action, Adventure, Fantasy",2014
They Shall Not Grow Old,Peter Jackson,"Documentary, History, War",2018
The Beatles: Get Back - The Rooftop Concert,Peter Jackson,"Music, Documentary",2022
Three to Go,Peter Weir,Drama,1971
The Cars That Ate Paris,Peter Weir,"Comedy, Horror, Science Fiction",1974
Whatever Happened To Green Valley?,Peter Weir,Documentary,1974
Picnic at Hanging Rock,Peter Weir,"Drama, Mystery",1975
The Last Wave,Peter Weir,"Mystery, Drama, Fantasy",1977
The Plumber,Peter Weir,"TV Movie, Thriller, Comedy, Horror",1979
Gallipoli,Peter Weir,"War, History, Drama",1981
The Year of Living Dangerously,Peter Weir,"Romance, Drama",1982
Witness,Peter Weir,"Crime, Drama, Romance, Thriller",1985
The Mosquito Coast,Peter Weir,"Drama, Adventure",1986
Dead Poets Society,Peter Weir,Drama,1989
Green Card,Peter Weir,"Comedy, Romance, Drama",1990
Fearless,Peter Weir,Drama,1993
The Truman Show,Peter Weir,"Comedy, Drama",1998
Master and Commander: The Far Side of the World,Peter Weir,"Adventure, Drama, War",2003
The Way Back,Peter Weir,"Drama, Adventure, History",2010
Reservoir Dogs,Quentin Tarantino,"Crime, Thriller",1992
Pulp Fiction,Quentin Tarantino,"Thriller, Crime",1994
Four Rooms,Quentin Tarantino,Comedy,1995
Jackie Brown,Quentin Tarantino,"Crime, Drama, Thriller",1997
Kill Bill: Vol. 1,Quentin Tarantino,"Action, Crime",2003
Kill Bill: Vol. 2,Quentin Tarantino,"Action, Crime, Thriller",2004
Grindhouse,Quentin Tarantino,"Thriller, Action, Horror",2007
Death Proof,Quentin Tarantino,"Action, Thriller",2007
Inglourious Basterds,Quentin Tarantino,"Drama, Thriller, War",2009
Kill Bill: The Whole Bloody Affair,Quentin Tarantino,"Action, Crime, Thriller",2011
Django Unchained,Quentin Tarantino,"Drama, Western",2012
The Hateful Eight,Quentin Tarantino,"Drama, Mystery, Western",2015
Once Upon a Time... in Hollywood,Quentin Tarantino,"Comedy, Drama, Thriller",2019
It's Impossible to Learn to Plow by Reading Books,Richard Linklater,Drama,1988
Heads I Win/Tails You Lose,Richard Linklater,Documentary,1991
Slacker,Richard Linklater,Drama,1991
Dazed and Confused,Richard Linklater,"Comedy, Drama",1993
Before Sunrise,Richard Linklater,"Drama, Romance",1995
SubUrbia,Richard Linklater,"Comedy, Drama",1997
The Newton Boys,Richard Linklater,"Crime, Action, Drama",1998
Tape,Richard Linklater,Drama,2001
Waking Life,Richard Linklater,"Animation, Drama, Fantasy",2001
School of Rock,Richard Linklater,"Comedy, Music",2003
Before Sunset,Richard Linklater,"Drama, Romance",2004
Bad News Bears,Richard Linklater,Comedy,2005
A Scanner Darkly,Richard Linklater,"Animation, Science Fiction, Thriller",2006
Fast Food Nation,Richard Linklater,"Drama, Comedy",2006
Me and Orson Welles,Richard Linklater,"Drama, History",2008
Inning by Inning: A Portrait of a Coach,Richard Linklater,Documentary,2008
Bernie,Richard Linklater,"Comedy, Crime, Drama",2012
Before Midnight,Richard Linklater,"Romance, Drama",2013
Boyhood,Richard Linklater,Drama,2014
Everybody Wants Some!!,Richard Linklater,Comedy,2016
Last Flag Flying,Richard Linklater,"Drama, Comedy",2017
"Where'd You Go, Bernadette",Richard Linklater,"Comedy, Drama",2019
Apollo 10½: A Space Age Childhood,Richard Linklater,"Animation, Comedy, Science Fiction",2022
Hit Man,Richard Linklater,"Crime, Comedy, Romance",2024
The Duellists,Ridley Scott,"Drama, War",1977
Alien,Ridley Scott,"Horror, Science Fiction",1979
Blade Runner,Ridley Scott,"Science Fiction, Drama, Thriller",1982
Legend,Ridley Scott,"Adventure, Fantasy",1985
Someone to Watch Over Me,Ridley Scott,"Drama, Romance, Thriller",1987
Black Rain,Ridley Scott,"Drama, Action, Thriller",1989
Thelma & Louise,Ridley Scott,"Drama, Thriller, Crime, Adventure",1991
1492: Conquest of Paradise,Ridley Scott,"Action, Adventure, Drama, History",1992
"The King of Ads, Part 2",Ridley Scott,Documentary,1993
White Squall,Ridley Scott,"Drama, Adventure",1996
G.I. Jane,Ridley Scott,"Action, Drama",1997
Gladiator,Ridley Scott,"Action, Drama, Adventure",2000
Black Hawk Down,Ridley Scott,"Action, War, History",2001
Hannibal,Ridley Scott,"Crime, Drama, Thriller",2001
Matchstick Men,Ridley Scott,"Comedy, Drama, Crime, Thriller",2003
Kingdom of Heaven,Ridley Scott,"Drama, Action, Adventure, History, War",2005
All the Invisible Children,Ridley Scott,Drama,2005
A Good Year,Ridley Scott,"Comedy, Drama, Romance",2006
American Gangster,Ridley Scott,"Drama, Crime",2007
Body of Lies,Ridley Scott,"Action, Drama, Thriller",2008
Robin Hood,Ridley Scott,"Action, Adventure, History",2010
Prometheus,Ridley Scott,"Science Fiction, Adventure, Mystery",2012
The Counselor,Ridley Scott,"Thriller, Crime, Drama",2013
Exodus: Gods and Kings,Ridley Scott,"Adventure, Drama, Action",2014
The Martian,Ridley Scott,"Drama, Adventure, Science Fiction",2015
Alien: Covenant,Ridley Scott,"Science Fiction, Horror, Thriller",2017
All the Money in the World,Ridley Scott,"Drama, Crime, History",2017
The Last Duel,Ridley Scott,"History, Drama, Action",2021
House of Gucci,Ridley Scott,"History, Drama, Crime",2021
Napoleon,Ridley Scott,"History, War, Romance, Drama",2023
Chicago,Rob Marshall,"Comedy, Crime, Drama",2002
Memoirs of a Geisha,Rob Marshall,"Drama, Romance, History",2005
Nine,Rob Marshall,"Drama, Music, Romance",2009
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Adventure, Action, Fantasy",2011
Into the Woods,Rob Marshall,"Fantasy, Comedy",2014
Mary Poppins Returns,Rob Marshall,"Fantasy, Family, Comedy",2018
The Little Mermaid,Rob Marshall,"Adventure, Family, Fantasy, Romance",2023
Big Leaguer,Robert Aldrich,Drama,1953
Vera Cruz,Robert Aldrich,Western,1954
World for Ransom,Robert Aldrich,"Drama, Action, Thriller",1954
Apache,Robert Aldrich,"Action, Western",1954
The Big Knife,Robert Aldrich,"Crime, Drama",1955
Kiss Me Deadly,Robert Aldrich,"Mystery, Thriller, Crime",1955
Attack,Robert Aldrich,"Drama, War",1956
Autumn Leaves,Robert Aldrich,"Drama, Mystery, Romance",1956
Ten Seconds to Hell,Robert Aldrich,"Drama, War, Action",1959
The Angry Hills,Robert Aldrich,"Drama, War, Thriller",1959
The Last Sunset,Robert Aldrich,"Western, Drama",1961
What Ever Happened to Baby Jane?,Robert Aldrich,"Thriller, Drama, Horror",1962
4 for Texas,Robert Aldrich,"Comedy, Western",1963
"Hush... Hush, Sweet Charlotte",Robert Aldrich,"Horror, Mystery, Thriller",1964
The Flight of the Phoenix,Robert Aldrich,"Adventure, Drama",1965
The Dirty Dozen,Robert Aldrich,"Action, Adventure, War",1967
The Killing of Sister George,Robert Aldrich,"Comedy, Drama",1968
The Legend of Lylah Clare,Robert Aldrich,"Drama, Crime, Mystery",1968
Too Late the Hero,Robert Aldrich,"Drama, Action, War",1970
The Grissom Gang,Robert Aldrich,"Crime, Drama, Action, Thriller",1971
Ulzana's Raid,Robert Aldrich,Western,1972
Emperor of the North,Robert Aldrich,"Adventure, Drama, Action, Thriller",1973
The Longest Yard,Robert Aldrich,"Comedy, Drama",1974
Hustle,Robert Aldrich,"Crime, Thriller",1975
The Choirboys,Robert Aldrich,"Comedy, Crime, Drama",1977
Twilight's Last Gleaming,Robert Aldrich,Thriller,1977
The Frisco Kid,Robert Aldrich,"Adventure, Comedy, Western",1979
...All the Marbles,Robert Aldrich,"Comedy, Drama",1981
The James Dean Story,Robert Altman,Documentary,1957
The Delinquents,Robert Altman,Drama,1957
Nightmare in Chicago,Robert Altman,"Crime, Drama, TV Movie",1964
Countdown,Robert Altman,"Science Fiction, Thriller",1967
That Cold Day in the Park,Robert Altman,"Drama, Thriller",1969
M*A*S*H,Robert Altman,"Comedy, Drama, War",1970
Brewster McCloud,Robert Altman,"Comedy, Fantasy",1970
McCabe & Mrs. Miller,Robert Altman,"Western, Drama",1971
Images,Robert Altman,"Thriller, Mystery, Horror",1972
The Long Goodbye,Robert Altman,"Mystery, Crime, Thriller",1973
Thieves Like Us,Robert Altman,"Crime, Drama, Romance",1974
California Split,Robert Altman,"Comedy, Drama",1974
Nashville,Robert Altman,"Drama, Music, Comedy",1975
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",Robert Altman,"Western, Comedy",1976
3 Women,Robert Altman,Drama,1977
A Wedding,Robert Altman,"Comedy, Drama",1978
Quintet,Robert Altman,Science Fiction,1979
A Perfect Couple,Robert Altman,"Comedy, Romance",1979
Popeye,Robert Altman,"Action, Adventure, Comedy, Family",1980
Health,Robert Altman,Comedy,1980
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",Robert Altman,Drama,1982
Rattlesnake in a Cooler,Robert Altman,"Drama, TV Movie",1982
Precious Blood,Robert Altman,"Drama, TV Movie",1982
Streamers,Robert Altman,"Drama, War",1983
Secret Honor,Robert Altman,Drama,1984
Fool for Love,Robert Altman,"Drama, Romance",1985
The Laundromat,Robert Altman,"TV Movie, Drama",1985
O.C. and Stiggs,Robert Altman,Comedy,1987
Beyond Therapy,Robert Altman,Comedy,1987
Basements,Robert Altman,"Crime, Drama, Mystery, TV Movie",1987
Aria,Robert Altman,Music,1987
The Caine Mutiny Court-Martial,Robert Altman,"Drama, TV Movie",1988
Vincent & Theo,Robert Altman,Drama,1990
The Player,Robert Altman,"Mystery, Drama, Thriller",1992
Short Cuts,Robert Altman,"Drama, Comedy",1993
Black and Blue: A Musical Revue,Robert Altman,"Music, TV Movie",1993
Prêt-à-Porter,Robert Altman,Comedy,1994
Kansas City,Robert Altman,"Drama, Crime",1996
Jazz '34,Robert Altman,"Documentary, Music",1997
The Gingerbread Man,Robert Altman,Thriller,1998
Cookie's Fortune,Robert Altman,"Comedy, Drama",1999
Dr. T & the Women,Robert Altman,"Comedy, Drama, Romance",2000
Gosford Park,Robert Altman,"Drama, Mystery, Thriller",2001
The Company,Robert Altman,"Romance, Music, Drama",2003
A Prairie Home Companion,Robert Altman,"Drama, Comedy, Music",2006
Ordinary People,Robert Redford,Drama,1980
The Milagro Beanfield War,Robert Redford,"Comedy, Drama, Fantasy",1988
A River Runs Through It,Robert Redford,"Drama, Family",1992
Quiz Show,Robert Redford,"History, Drama, Mystery",1994
The Horse Whisperer,Robert Redford,"Adventure, Drama, Romance",1998
The Legend of Bagger Vance,Robert Redford,"Drama, Fantasy",2000
Lions for Lambs,Robert Redford,"Action, Adventure, Drama, History",2007
The Conspirator,Robert Redford,"Crime, Drama, History",2011
The Company You Keep,Robert Redford,"Drama, Thriller",2012
Cathedrals of Culture,Robert Redford,Documentary,2014
I Wanna Hold Your Hand,Robert Zemeckis,"Comedy, Music",1978
Used Cars,Robert Zemeckis,Comedy,1980
Romancing the Stone,Robert Zemeckis,"Romance, Comedy, Action, Adventure",1984
Back to the Future,Robert Zemeckis,"Adventure, Comedy, Science Fiction",1985
Amazing Stories,Robert Zemeckis,"TV Movie, Fantasy, Horror",1986
Who Framed Roger Rabbit,Robert Zemeckis,"Fantasy, Animation, Comedy, Crime",1988
Back to the Future Part II,Robert Zemeckis,"Adventure, Comedy, Science Fiction",1989
Back to the Future Part III,Robert Zemeckis,"Adventure, Comedy, Science Fiction",1990
Death Becomes Her,Robert Zemeckis,"Comedy, Fantasy, Horror",1992
Two-Fisted Tales,Robert Zemeckis,"War, TV Movie, Western, Horror",1992
Forrest Gump,Robert Zemeckis,"Comedy, Drama, Romance",1994
Contact,Robert Zemeckis,"Drama, Science Fiction, Mystery",1997
Tales from the Crypt: The Robert Zemeckis Collection,Robert Zemeckis,"Horror, Comedy",1999
The Pursuit of Happiness,Robert Zemeckis,"Documentary, History",1999
What Lies Beneath,Robert Zemeckis,"Drama, Horror, Mystery, Thriller",2000
Cast Away,Robert Zemeckis,"Adventure, Drama",2000
The Polar Express,Robert Zemeckis,"Animation, Adventure, Family, Fantasy",2004
Beowulf,Robert Zemeckis,"Adventure, Action, Animation",2007
A Christmas Carol,Robert Zemeckis,"Animation, Family, Fantasy",2009
The Walk,Robert Zemeckis,"History, Drama",2015
Allied,Robert Zemeckis,"Action, Drama, War, Romance, Thriller",2016
Welcome to Marwen,Robert Zemeckis,"Drama, Comedy",2018
Roald Dahl's The Witches,Robert Zemeckis,"Family, Comedy, Fantasy",2020
Pinocchio,Robert Zemeckis,"Fantasy, Adventure, Family",2022
Here,Robert Zemeckis,Drama,2024
You Upset Me,Roberto Benigni,Comedy,1983
Nothing Left to Do But Cry,Roberto Benigni,Comedy,1984
The Little Devil,Roberto Benigni,"Comedy, Fantasy, Romance",1988
Johnny Stecchino,Roberto Benigni,Comedy,1991
The Monster,Roberto Benigni,Comedy,1994
Tuttobenigni 95/96,Roberto Benigni,Comedy,1996
Life Is Beautiful,Roberto Benigni,"Comedy, Drama",1997
The Tiger and the Snow,Roberto Benigni,"Comedy, Drama, Romance",2005
The Spongers,Roland Joffé,"Drama, TV Movie",1978
The Legion Hall Bombing,Roland Joffé,"Drama, TV Movie",1978
No Mama No,Roland Joffé,"Drama, TV Movie",1979
'Tis Pity She's a Whore,Roland Joffé,"Drama, Romance, TV Movie",1980
United Kingdom,Roland Joffé,"Drama, TV Movie",1981
The Killing Fields,Roland Joffé,"Drama, History, War",1984
The Mission,Roland Joffé,"Adventure, Drama, Action, History",1986
Fat Man and Little Boy,Roland Joffé,"Drama, History, War",1989
City of Joy,Roland Joffé,Drama,1992
The Scarlet Letter,Roland Joffé,"Drama, Romance, Western",1995
Goodbye Lover,Roland Joffé,"Thriller, Comedy, Crime, Mystery",1999
Vatel,Roland Joffé,"History, Drama, Romance",2000
Captivity,Roland Joffé,"Crime, Horror, Thriller",2007
You and I,Roland Joffé,"Drama, Romance",2011
There Be Dragons,Roland Joffé,"War, History, Drama",2011
The Lovers,Roland Joffé,"Action, Adventure, Science Fiction, Romance",2015
The Forgiven,Roland Joffé,"Thriller, Drama",2018
A Lover Scorned,Roland Joffé,"Thriller, TV Movie",2019
Knife in the Water,Roman Polanski,"Drama, Thriller",1962
The World's Most Beautiful Swindlers,Roman Polanski,"Crime, Comedy",1964
Repulsion,Roman Polanski,"Drama, Thriller, Horror",1965
Cul-de-sac,Roman Polanski,"Thriller, Comedy, Crime",1966
The Fearless Vampire Killers,Roman Polanski,"Comedy, Horror",1967
Rosemary's Baby,Roman Polanski,"Drama, Horror, Thriller",1968
Macbeth,Roman Polanski,"War, Drama",1971
What?,Roman Polanski,Comedy,1972
Weekend of a Champion,Roman Polanski,Documentary,1972
Chinatown,Roman Polanski,"Crime, Drama, Mystery, Thriller",1974
The Tenant,Roman Polanski,"Thriller, Horror, Mystery",1976
Tess,Roman Polanski,"Drama, Romance",1979
Pirates,Roman Polanski,"Adventure, Comedy",1986
Frantic,Roman Polanski,"Thriller, Mystery",1988
Bitter Moon,Roman Polanski,"Thriller, Drama, Romance",1992
Death and the Maiden,Roman Polanski,"Drama, Thriller",1994
The Ninth Gate,Roman Polanski,"Mystery, Thriller, Horror",1999
The Pianist,Roman Polanski,"Drama, War",2002
The Ghost Writer,Roman Polanski,"Thriller, Mystery",2010
Carnage,Roman Polanski,"Comedy, Drama",2011
Venus in Fur,Roman Polanski,Drama,2013
Based on a True Story,Roman Polanski,"Thriller, Mystery",2017
An Officer and a Spy,Roman Polanski,"History, Drama, Thriller",2019
The Palace,Roman Polanski,"Comedy, Drama",2023
Grand Theft Auto,Ron Howard,"Comedy, Action, Crime, Adventure, Romance, Thriller",1977
Cotton Candy,Ron Howard,"Music, Comedy, TV Movie",1978
Skyward,Ron Howard,"Drama, Family, TV Movie",1980
Through the Magic Pyramid,Ron Howard,"Fantasy, Adventure, TV Movie",1981
Night Shift,Ron Howard,Comedy,1982
Splash,Ron Howard,"Comedy, Romance, Fantasy",1984
Cocoon,Ron Howard,"Drama, Comedy, Science Fiction",1985
Gung Ho,Ron Howard,"Comedy, Drama",1986
Willow,Ron Howard,"Action, Adventure, Fantasy",1988
Parenthood,Ron Howard,"Comedy, Drama",1989
Backdraft,Ron Howard,"Drama, Thriller, Action, Crime",1991
Far and Away,Ron Howard,"Adventure, Drama, Romance, Western",1992
